,lines,scene,polarity,polarity_rolling
0,INTERVIEWER:,1.0,0.0,0.05432
1,So as you've been,1.0,0.0,0.02716
2,coaching over the years,1.0,0.0,0.02716
3,what would you say are the,1.0,0.0,0.02716
4,most important,1.0,0.2716,0.02716
5, uh,1.0,0.0,0.02716
6, lessons  ,1.0,0.0,0.02716
7,of leadership,1.0,0.0,0.02716
8,that you've learned?  ,1.0,0.0,0.0712
9,COACH K:,1.0,0.0,0.0712
10,The very first thing is that,1.0,0.0,0.044039999999999996
11,you know,1.0,0.0,-0.010190000000000005
12,in order to get better,1.0,0.4404,-0.06442
13,you change limits.  ,1.0,0.0,-0.06442
14,And when you change limits,1.0,0.0,-0.11548000000000003
15,you're gonna look bad,1.0,-0.5423,-0.11548000000000003
16,and you're gonna fail.  ,1.0,-0.5423,-0.11548000000000003
17,And at West Point,1.0,0.0,-0.11548000000000003
18,I learned that failure,1.0,-0.5106,-0.15952000000000002
19,was never a destination.   ,1.0,0.0,-0.15952000000000002
20,In other words,1.0,0.0,-0.15952000000000002
21,when you are knocked back,1.0,0.0,-0.10529000000000002
22,you know,1.0,0.0,-0.051060000000000015
23, figure out why,1.0,0.0,-0.07606000000000002
24,and then,1.0,0.0,-0.025000000000000012
25, then change.   ,1.0,0.0,-0.025000000000000012
26,The other thing is that you're,1.0,0.0,-0.025000000000000012
27,not gonna get there alone.   ,1.0,-0.25,-0.025000000000000012
28,You know,1.0,0.0,0.01903999999999999
29, be on a team.   ,1.0,0.0,0.01903999999999999
30,You know,1.0,0.0,0.01903999999999999
31, surround yourself,1.0,0.0,0.01903999999999999
32,with good people   ,1.0,0.4404,0.01903999999999999
33,and learn how to listen.   ,1.0,0.0,0.04403999999999999
34,You're not gonna learn,1.0,0.0,0.04403999999999999
35,with you just talking.   ,1.0,0.0,0.07586
36,And when you do talk,1.0,0.0,0.07586
37,converse,1.0,0.0,0.07586
38,don't make excuses.   ,1.0,0.0,0.031819999999999994
39,Figure out the solution.   ,1.0,0.3182,0.031819999999999994
40,And you don't have to,1.0,0.0,0.031819999999999994
41,figure it out yourself.   ,1.0,0.0,0.031819999999999994
42,I always wanted to be,1.0,0.0,0.031819999999999994
43,a part of a team   ,1.0,0.0,0.031819999999999994
44,and obviously I wanted,1.0,0.0,0.07200999999999999
45,to lead that team.   ,1.0,0.0,0.04019
46,You know,1.0,0.0,0.04019
47, what a,1.0,0.0,0.04019
48,what an interesting life   ,1.0,0.4019,0.04019
49,it is to be a leader.   ,1.0,0.0,0.08038
50,That's something.   ,1.0,0.0,0.08038
51,(alarm beeping)   ,2.0,0.0,0.0
52,(beeping continues,2.0,0.0,0.0
53, stops)   ,2.0,0.0,-0.05423
54,(sighs)   ,2.0,0.0,-0.05423
55,(alarm chirps)   ,2.0,0.0,-0.05423
